Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,20400.0,20659.94921875,20325.0,20611.0,20611.0,71915
2020-10-05,20600.0,20719.05078125,20000.0,20131.80078125,20131.80078125,63076
2020-10-06,20155.0,20446.44921875,20001.0,20296.94921875,20296.94921875,58671
2020-10-07,20325.0,20800.0,20097.94921875,20712.5,20712.5,78989
2020-10-08,20721.19921875,20850.0,20490.0,20735.55078125,20735.55078125,63457
2020-10-09,20800.0,21250.0,20686.5,21198.5,21198.5,90353
2020-10-12,21165.0,21397.94921875,20845.05078125,20956.099609375,20956.099609375,56254
2020-10-13,20951.0,21700.0,20850.0,21088.0,21088.0,115699
2020-10-14,21088.0,21320.0,20651.400390625,21135.900390625,21135.900390625,69326
2020-10-15,21260.0,21260.0,20505.19921875,20642.25,20642.25,55002
2020-10-16,20780.0,21324.55078125,20650.0,21177.44921875,21177.44921875,85124
2020-10-19,21200.0,21400.0,21022.099609375,21102.25,21102.25,48532
2020-10-20,21197.0,21550.0,21100.099609375,21184.80078125,21184.80078125,70614
2020-10-21,21250.0,21426.94921875,20680.150390625,21147.5,21147.5,57076
2020-10-22,21200.0,21290.0,20901.69921875,20991.69921875,20991.69921875,51638
2020-10-23,21165.0,21272.30078125,20257.05078125,20521.150390625,20521.150390625,78234
2020-10-26,20665.69921875,20809.75,20113.099609375,20424.69921875,20424.69921875,65851
2020-10-27,20548.5,22100.0,20424.75,21734.349609375,21734.349609375,239232
2020-10-28,21560.19921875,21788.0,21231.19921875,21361.19921875,21361.19921875,80646
2020-10-29,21299.0,21799.94921875,21105.05078125,21677.0,21677.0,71428
2020-10-30,21738.0,22050.0,21519.94921875,21694.55078125,21694.55078125,86132
2020-11-02,21694.55078125,21898.55078125,21512.099609375,21671.349609375,21671.349609375,46682
2020-11-03,21821.5,21999.94921875,21671.349609375,21876.099609375,21876.099609375,49230
2020-11-04,21876.099609375,22077.05078125,21725.25,21910.349609375,21910.349609375,61879
2020-11-05,22050.0,22328.150390625,21810.0,22239.400390625,22239.400390625,82737
